"organism_code","organism_name","antibiotic_code","antibiotic_name"
"eco","Escherichia coli","PEN","Benzylpénicilline"
"eco","Escherichia coli","VAN","Vancomycine"
"eco","Escherichia coli","ERY","Erythromycine"
"eco","Escherichia coli","CLI","Clindamycine"
"eco","Escherichia coli","RIF","Rifampicine"
"kpn","Klebsiella pneumoniae","AMP","Ampicilline"
"kpn","Klebsiella pneumoniae","PEN","Benzylpénicilline"
"kpn","Klebsiella pneumoniae","VAN","Vancomycine"
"kpn","Klebsiella pneumoniae","ERY","Erythromycine"
"kpn","Klebsiella pneumoniae","CLI","Clindamycine"
"kpn","Klebsiella pneumoniae","RIF","Rifampicine"
"sau","Staphylococcus aureus","CAZ","Céphtazidime"
"sau","Staphylococcus aureus","COL","Colistine"
"spn","Streptococcus pneumoniae","CAZ","Céphtazidime"
"spn","Streptococcus pneumoniae","AMK","Amikacine"
"spn","Streptococcus pneumoniae","GEN","Gentamicine"
"spn","Streptococcus pneumoniae","TOB","Tobramycine"
"spn","Streptococcus pneumoniae","COL","Colistine"
"spn","Streptococcus pneumoniae","KAN","Kanamycine"
"spn","Streptococcus pneumoniae","STR","Streptoduocine"
"efm","Enterococcus faecium","FEP","Céphépime"
"efm","Enterococcus faecium","CTX","Céphotaxime"
"efm","Enterococcus faecium","FOX","Céphoxitine"
"efm","Enterococcus faecium","CAZ","Céphtazidime"
"efm","Enterococcus faecium","CRO","Céphtriaxone"
"efm","Enterococcus faecium","AMK","Amikacine"
"efm","Enterococcus faecium","GEN","Gentamicine"
"efm","Enterococcus faecium","TOB","Tobramycine"
"efm","Enterococcus faecium","ERY","Erythromycine"
"efm","Enterococcus faecium","COL","Colistine"
"efm","Enterococcus faecium","KAN","Kanamycine"
"efm","Enterococcus faecium","STR","Streptoduocine"
"efa","Enterococcus faecalis","FEP","Céphépime"
"efa","Enterococcus faecalis","CTX","Céphotaxime"
"efa","Enterococcus faecalis","FOX","Céphoxitine"
"efa","Enterococcus faecalis","CAZ","Céphtazidime"
"efa","Enterococcus faecalis","CRO","Céphtriaxone"
"efa","Enterococcus faecalis","AMK","Amikacine"
"efa","Enterococcus faecalis","GEN","Gentamicine"
"efa","Enterococcus faecalis","TOB","Tobramycine"
"efa","Enterococcus faecalis","ERY","Erythromycine"
"efa","Enterococcus faecalis","CLI","Clindamycine"
"efa","Enterococcus faecalis","COL","Colistine"
"efa","Enterococcus faecalis","KAN","Kanamycine"
"efa","Enterococcus faecalis","STR","Streptoduocine"
"pae","Pseudomonas aeruginosa","AMP","Ampicilline"
"pae","Pseudomonas aeruginosa","AMC","Amoxicilline/acide clavulanique"
"pae","Pseudomonas aeruginosa","CTX","Céphotaxime"
"pae","Pseudomonas aeruginosa","FOX","Céphoxitine"
"pae","Pseudomonas aeruginosa","CRO","Céphtriaxone"
"pae","Pseudomonas aeruginosa","PEN","Benzylpénicilline"
"pae","Pseudomonas aeruginosa","CHL","Chloramphénicol"
"pae","Pseudomonas aeruginosa","VAN","Vancomycine"
"pae","Pseudomonas aeruginosa","ERY","Erythromycine"
"pae","Pseudomonas aeruginosa","CLI","Clindamycine"
"pae","Pseudomonas aeruginosa","TCY","Tetracycline"
"pae","Pseudomonas aeruginosa","RIF","Rifampicine"
"pae","Pseudomonas aeruginosa","KAN","Kanamycine"
"aba","Acinetobacter baumannii","AMP","Ampicilline"
"aba","Acinetobacter baumannii","AMC","Amoxicilline/acide clavulanique"
"aba","Acinetobacter baumannii","CTX","Céphotaxime"
"aba","Acinetobacter baumannii","FOX","Céphoxitine"
"aba","Acinetobacter baumannii","CRO","Céphtriaxone"
"aba","Acinetobacter baumannii","PEN","Benzylpénicilline"
"aba","Acinetobacter baumannii","VAN","Vancomycine"
"aba","Acinetobacter baumannii","ERY","Erythromycine"
"aba","Acinetobacter baumannii","CLI","Clindamycine"
"aba","Acinetobacter baumannii","TCY","Tetracycline"
"aba","Acinetobacter baumannii","RIF","Rifampicine"
"pmi","Proteus mirabilis","PEN","Benzylpénicilline"
"pmi","Proteus mirabilis","VAN","Vancomycine"
"pmi","Proteus mirabilis","ERY","Erythromycine"
"pmi","Proteus mirabilis","CLI","Clindamycine"
"pmi","Proteus mirabilis","TCY","Tetracycline"
"pmi","Proteus mirabilis","RIF","Rifampicine"
"pmi","Proteus mirabilis","NIT","Nitrofurantoïne"
"pmi","Proteus mirabilis","COL","Colistine"
"sty","Salmonella enterica enterica","PEN","Benzylpénicilline"
"sty","Salmonella enterica enterica","VAN","Vancomycine"
"sty","Salmonella enterica enterica","ERY","Erythromycine"
"sty","Salmonella enterica enterica","CLI","Clindamycine"
"sty","Salmonella enterica enterica","RIF","Rifampicine"
"mtb","Mycobacterium tuberculosis","COL","Colistine"
"sep","Staphylococcus epidermidis","CAZ","Céphtazidime"
"sep","Staphylococcus epidermidis","COL","Colistine"
"kox","Klebsiella oxytoca","AMP","Ampicilline"
"kox","Klebsiella oxytoca","PEN","Benzylpénicilline"
"kox","Klebsiella oxytoca","VAN","Vancomycine"
"kox","Klebsiella oxytoca","ERY","Erythromycine"
"kox","Klebsiella oxytoca","CLI","Clindamycine"
"kox","Klebsiella oxytoca","RIF","Rifampicine"
"cfr","Citrobacter freundii","AMP","Ampicilline"
"cfr","Citrobacter freundii","AMC","Amoxicilline/acide clavulanique"
"cfr","Citrobacter freundii","FOX","Céphoxitine"
"cfr","Citrobacter freundii","PEN","Benzylpénicilline"
"cfr","Citrobacter freundii","VAN","Vancomycine"
"cfr","Citrobacter freundii","ERY","Erythromycine"
"cfr","Citrobacter freundii","CLI","Clindamycine"
"cfr","Citrobacter freundii","RIF","Rifampicine"
"ecl","Enterobacter cloacae","AMP","Ampicilline"
"ecl","Enterobacter cloacae","AMC","Amoxicilline/acide clavulanique"
"ecl","Enterobacter cloacae","FOX","Céphoxitine"
"ecl","Enterobacter cloacae","PEN","Benzylpénicilline"
"ecl","Enterobacter cloacae","VAN","Vancomycine"
"ecl","Enterobacter cloacae","ERY","Erythromycine"
"ecl","Enterobacter cloacae","CLI","Clindamycine"
"ecl","Enterobacter cloacae","RIF","Rifampicine"
